Date,Open,High,Low,Close,Adj Close,Volume
2015-06-26,50.770000,51.029999,50.270000,50.799999,34.932774,1000
2015-06-29,50.070000,50.160000,49.529999,49.650002,34.141975,900
2015-06-30,49.930000,49.930000,49.759998,49.759998,34.217613,200
2015-07-01,51.810001,51.810001,51.810001,51.810001,35.627304,200
2015-07-02,51.340000,51.430000,51.119999,51.240002,35.235340,2300
2015-07-06,49.889999,50.529999,49.889999,50.230000,34.540810,700
2015-07-07,49.599998,49.770000,48.590000,49.770000,34.224495,4200
2015-07-08,49.730000,49.730000,49.250000,49.250000,33.866913,1500
2015-07-09,50.810001,50.810001,50.520000,50.619999,34.808994,5000
2015-07-10,53.770000,54.130001,53.580002,53.900002,37.064499,9500
2015-07-13,54.320000,54.439999,54.209999,54.439999,37.435825,3300
2015-07-14,53.869999,54.520000,53.869999,54.520000,37.490841,2400
2015-07-15,54.520000,54.520000,54.520000,54.520000,37.490841,0
2015-07-16,55.000000,55.160000,54.950001,55.160000,37.930943,8000
2015-07-17,55.160000,55.160000,55.160000,55.160000,37.930943,0
2015-07-20,55.020000,55.020000,55.020000,55.020000,37.834671,300
2015-07-21,54.820000,54.820000,54.820000,54.820000,37.697136,300
2015-07-22,56.169998,56.400002,56.169998,56.400002,38.783630,1100
2015-07-23,56.529999,56.759998,56.290001,56.290001,38.707989,2300
2015-07-24,57.520000,57.750000,57.389999,57.389999,39.464405,1100
2015-07-27,56.709999,56.709999,56.709999,56.709999,38.996799,10400
2015-07-28,56.389999,56.770000,56.220001,56.770000,39.038059,1900
2015-07-29,56.700001,56.700001,56.610001,56.610001,38.928036,5100
2015-07-30,53.950001,54.240002,53.950001,54.150002,37.236412,16800
2015-07-31,54.759998,54.759998,54.660000,54.660000,37.587112,300
2015-08-03,56.709999,56.750000,56.500000,56.580002,38.907410,3600
2015-08-04,56.830002,56.830002,56.580002,56.580002,38.907410,700
2015-08-05,56.430000,56.599998,56.430000,56.599998,38.921158,1100
2015-08-06,56.599998,56.599998,56.599998,56.599998,38.921158,0
2015-08-07,54.720001,55.209999,54.650002,55.209999,37.965321,6200
2015-08-10,55.709999,56.360001,55.709999,56.360001,38.756123,1600
2015-08-11,55.689999,55.740002,55.380001,55.740002,38.329781,2600
2015-08-12,55.250000,55.299999,54.630001,55.299999,38.027214,4700
2015-08-13,55.560001,55.610001,55.560001,55.560001,38.206001,600
2015-08-14,56.400002,56.529999,56.400002,56.529999,38.873020,300
2015-08-17,55.610001,56.220001,55.610001,56.220001,38.659851,700
2015-08-18,56.360001,56.900002,56.360001,56.900002,39.127457,600
2015-08-19,57.000000,57.750000,57.000000,57.750000,39.711960,2300
2015-08-20,54.330002,54.330002,52.860001,53.220001,36.596897,1300
2015-08-21,52.099998,52.099998,50.349998,50.360001,34.630203,4400
2015-08-24,49.150002,51.340000,49.150002,49.700001,34.176353,15600
2015-08-25,53.750000,53.750000,51.990002,51.990002,35.751080,2800
2015-08-26,54.110001,54.110001,52.860001,53.200001,36.583138,2200
2015-08-27,53.619999,54.490002,53.619999,54.349998,37.373936,6100
2015-08-28,53.500000,54.070000,53.500000,54.070000,37.181396,6100
2015-08-31,53.730000,53.799999,53.730000,53.799999,36.995728,900
2015-09-01,52.799999,53.049999,52.610001,52.610001,36.177425,1500
2015-09-02,52.610001,52.610001,52.610001,52.610001,36.177425,0
2015-09-03,53.950001,53.959999,53.919998,53.959999,37.105755,800
2015-09-04,52.459999,52.459999,52.150002,52.150002,35.861103,400
2015-09-08,52.980000,52.980000,52.980000,52.980000,36.431858,300
2015-09-09,53.330002,53.330002,53.330002,53.330002,36.672535,600
2015-09-10,53.830002,53.880001,53.759998,53.830002,37.016361,900
2015-09-11,53.560001,53.830002,53.560001,53.830002,37.016361,400
2015-09-14,53.830002,53.830002,53.830002,53.830002,37.016361,0
2015-09-15,53.000000,53.230000,52.750000,53.230000,36.603771,900
2015-09-16,53.250000,53.250000,53.099998,53.230000,36.603771,3000
2015-09-17,53.009998,53.599998,53.009998,53.310001,36.658783,800
2015-09-18,53.310001,53.310001,53.310001,53.310001,36.658783,0
2015-09-21,52.730000,52.730000,52.389999,52.389999,36.026142,1000
2015-09-22,51.000000,51.160000,50.689999,51.160000,35.180328,4100
2015-09-23,51.139999,51.139999,50.849998,50.939999,35.029045,3700
2015-09-24,49.610001,49.970001,49.110001,49.970001,34.362022,5500
2015-09-25,50.450001,50.549999,50.450001,50.549999,34.760860,300
2015-09-28,49.490002,49.490002,49.099998,49.099998,33.763760,200
2015-09-29,49.990002,50.889999,49.990002,50.889999,34.994663,500
2015-09-30,51.459999,51.459999,51.459999,51.459999,35.386623,100
2015-10-01,52.160000,52.240002,52.160000,52.240002,35.922993,200
